,AAPL,MSFT,GOOGL,NVDA,JPM,BRK-B,JNJ,UNH,AMZN,XOM
2018-01-01,100.95237393685788,103.16968814731797,97.49900814217686,107.69286895767323,101.71833296529402,99.45825233314851,101.59743014144264,98.65019725232011,100.14990150924142,99.61697530449787
2018-01-02,100.77875481774234,101.62514510120111,96.27358385906007,107.73134546091781,101.76940381752067,99.64969762278454,102.44051054006592,98.630057558806,100.52677089187661,101.09900451076442
2018-01-03,102.00982988228455,100.61357194019429,96.20517999148352,109.55646870743594,101.88977442752983,98.14134144436993,103.04498476954278,95.96527176814143,97.05912142136197,102.84163274081162
2018-01-04,104.86254129241952,101.4991160182751,96.13415941869143,109.94662834652078,101.55403048616157,100.39503577168476,103.39408864290962,96.43467888468975,96.42979600110013,101.02852876912453
2018-01-05,104.50529551916625,101.85476024218691,99.34043689029632,107.59908068415595,102.56089581265047,99.07873564368286,102.81754382739918,97.04734173728718,95.24710503865364,98.6487847396315
2018-01-08,104.14929697083389,102.48735521779764,97.15942173956805,101.69278969635533,102.00273426719859,98.79604715781618,102.66035504708255,99.18084215296554,94.11856122172524,97.55255897467757
2018-01-09,107.16798682659257,103.34914810284236,98.01639097790104,99.54596374571305,103.43173657739104,98.8018107135247,102.61434015440007,99.00156797749705,95.24208966250961,99.19866820345453
2018-01-10,108.7064695981576,104.45732446512721,100.48665106294901,95.36100801072863,101.86026179218668,100.76385704436952,103.13753299432196,99.5755886146311,93.75599568435898,101.14246134607873
2018-01-11,107.88739246168497,106.37008510634824,104.34769425432746,100.7091642766635,100.35887406972917,99.46563963531133,104.54417109853627,98.56347440422375,92.74037635374201,99.70741083732443
2018-01-12,109.00299301917083,107.13053695178102,103.7107654695834,100.43432626417392,101.35807058851567,101.51350327881812,105.60559747180052,98.18418090850484,89.20149058327718,100.21846874184239
2018-01-15,108.19323931905893,106.79576309476413,104.60125764877436,99.43473171732052,101.27226184114677,102.33064274366915,104.31680509649499,96.37670298670392,88.75458230811411,103.18411181473657
2018-01-16,107.38512170658016,108.00526083660735,105.63483207969043,102.35017649146796,100.67548929015338,102.80138299319306,104.548053785735,96.20153407116142,86.99516789514908,103.88954260180525
2018-01-17,107.92180256127261,111.36019062118783,106.02666823503337,98.88534571867832,101.96377124148579,101.82547778300413,105.2547225502346,95.89306756272067,87.17216616649475,106.27048979272324
2018-01-18,104.41541140687902,111.2022667475567,105.90818198187968,96.6117109509618,101.14770485714418,102.4528428169183,105.85604079892494,96.31635848827614,85.66518893784229,107.98463158429463
2018-01-19,101.35914015859373,109.58198766934626,106.72056862673726,96.905560130433,100.90580955010549,101.74770585491031,105.29538953492494,95.62329987274484,85.8805968970985,106.47683524450588
2018-01-22,100.43087636201892,111.58398538565694,102.43622517691216,100.18644819556437,102.92073598342992,103.09477769098969,108.06236893399014,95.78455840534087,85.69198812426681,106.18770641654682
2018-01-23,98.7234485336594,111.4472469307658,103.63887009137028,101.87304515765514,105.17964627191839,102.13005661083766,106.87763824393674,95.44366832419573,88.49036423930858,106.27483188578321
2018-01-24,99.34342178604413,107.77057595977739,103.9052937095858,102.76468333655875,107.53768612224839,102.05299628323215,105.88680826363206,95.10624488323704,89.37365199416348,106.47830511291522
2018-01-25,97.83517503840628,109.29164494596036,103.57923177049626,103.1098661307616,107.1587754907844,101.52259021113682,106.13052248759413,95.26305115878212,86.36614378301853,108.05549076817564
2018-01-26,95.49662818196096,108.44671725466151,107.16418412069926,104.51119374809421,109.04359054009676,100.5558963792673,108.15625833868481,95.37223385753094,84.3713008681285,108.78287205621203
